id,question,link_1,link_2,predict_answer
4014,What is the deepest lake in the world?,https://en.wikipedia.org/wiki/List_of_lakes_by_depth,https://en.wikipedia.org/wiki/Lake_Baikal,Lake Baikal
4015,"Who wrote the song ""The Storm""?",https://en.wikipedia.org/wiki/Riders_on_the_Storm,https://en.wikipedia.org/wiki/The_Storm_(ZZ_Ward_album),ZZ Ward
4016,What was the name of the official supplier of beds to the Austrian Empire?,https://en.wikipedia.org/wiki/J._Pauly_%26_Sohn,https://en.wikipedia.org/wiki/Imperial_and_Royal_Warrant_of_Appointment,J. Pauly Sohn
4017,What was the nephew of Rocco Lo Presti?,https://en.wikipedia.org/wiki/Lo_Presti_%27ndrina,https://en.wikipedia.org/wiki/Rocco_Lo_Presti,Lopresti
4018,What was the name of the Chilean president elected in the 1997 parliamentary elections?,https://en.wikipedia.org/wiki/1997_Chilean_parliamentary_election,https://en.wikipedia.org/wiki/Cristi%C3%A1n_Reitze,Santiago Poniente
4019,"What year was Gunther's son, Johnny, killed?",https://en.wikipedia.org/wiki/Death_Be_Not_Proud_(book),https://en.wikipedia.org/wiki/John_Gunther,1949
4020,Of what nationality was Harry Lennart Yrjö Bergström?,https://en.wikipedia.org/wiki/Harry_Bergstr%C3%B6m,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Curling/Curling_(red_links),Finnish
4021,What nationality is Janni Arnth Jensen?,https://en.wikipedia.org/wiki/Janni_Arnth,https://en.wikipedia.org/wiki/File:Janni_Arnth_Jensen_2014_(cropped).jpg,Danish
4022,What was the name of the other high school in the district?,https://en.wikipedia.org/wiki/List_of_Houston_Independent_School_District_schools,https://en.wikipedia.org/wiki/School_district,Richard W. Dick Dowling Middle School
4023,Musashi made use of an early Japanese source for what?,https://en.wikipedia.org/wiki/Miyamoto_Musashi,https://en.wikipedia.org/wiki/Japanese_battleship_Musashi,converting it into a war museum
4024,What city did Tyler George start curling at?,https://en.wikipedia.org/wiki/Tyler_George,https://en.wikipedia.org/wiki/2011_United_States_Men%27s_Curling_Championship,Duluth
4025,What was the name of the film that Sangeeta Datta wrote and directed?,https://en.wikipedia.org/wiki/Life_Goes_On_(2009_film),https://en.wikipedia.org/wiki/Life_Goes_On,Life Goes On
4026,In what county is the Beardsley-Oliver House located?,https://en.wikipedia.org/wiki/Beardsley-Oliver_House,"https://en.wikipedia.org/wiki/Category:Houses_in_Cattaraugus_County,_New_York",Cattaraugus County
4027,In what county is Brooks Township located?,"https://en.wikipedia.org/wiki/Brooks_Township,_Michigan","https://en.wikipedia.org/wiki/Green_Brook_Township,_New_Jersey",Newaygo County
4028,What was the name of the second airline in Romania?,https://en.wikipedia.org/wiki/TAROM,https://en.wikipedia.org/wiki/Aviation_in_Romania,Compania Națională de Transporturi Aeriene Române TAROM S.A.
4029,What is the name of the fourth Blaze Ya Dead Homie album?,https://en.wikipedia.org/wiki/Blaze_Ya_Dead_Homie,https://en.wikipedia.org/wiki/The_Casket_Factory,The Casket Factory
4030,When did the Daegu Metro Line 3 open?,https://en.wikipedia.org/wiki/Daegu_Metro_Line_3,https://en.wikipedia.org/wiki/Daegu_Metro,"Daegu Metro Line 3 is the third line in the Daegu Metro rapid transit system in Daegu, South Korea"
4031,What is the joint capsule sewed to in Bankar repair?,https://en.wikipedia.org/wiki/Bankart_repair,https://en.wikipedia.org/wiki/ICD-9-CM_Volume_3,detached glenoid labrum
4032,What bus operates in the Merseyside area?,https://en.wikipedia.org/wiki/Birkenhead,https://en.wikipedia.org/wiki/Merseytravel,South Lancashire
4033,Who developed the hardware-oriented system transfer?,https://en.wikipedia.org/wiki/Ghost_(disk_utility),https://en.wikipedia.org/wiki/Hardware_description_language,Murray Haszard
4034,What is the name of the state with an elected state school board?,https://en.wikipedia.org/wiki/State_education_agency,https://en.wikipedia.org/wiki/Alabama_State_Board_of_Education,Alabama
4035,Which river is a tributary of the Matukituki River?,https://en.wikipedia.org/wiki/M%C4%81tukituki_River,https://en.wikipedia.org/wiki/Kitchener_River,Kitchener River
4036,What is the name of the former Vasylivka village that is located in the Ukraine?,"https://en.wikipedia.org/wiki/Vasylivka,_Odessa_Raion","https://en.wikipedia.org/wiki/Zaporizke,_Sofiivka_settlement_hromada,_Kryvyi_Rih_Raion,_Dnipropetrovsk_Oblast",Odessa Raion
4037,What are Kosovo-Albanian rappers?,https://en.wikipedia.org/wiki/Buta_(rapper),https://en.wikipedia.org/wiki/Kidda_(rapper),songwriter
4038,How many people lived in Colfax Township in 2000?,"https://en.wikipedia.org/wiki/Colfax_Township,_Benzie_County,_Michigan","https://en.wikipedia.org/wiki/Colfax_Township,_Kandiyohi_County,_Minnesota",585
4039,Which film was the first to be screened in a IMAX theater?,https://en.wikipedia.org/wiki/IMAX,https://en.wikipedia.org/wiki/Movie_theater,empty
4040,Who was the Chief Minister of Orissa in 1967?,https://en.wikipedia.org/wiki/List_of_chief_ministers_of_Odisha,https://en.wikipedia.org/wiki/Sadashiva_Tripathy,Sadashiva Tripathy
4041,What position does James Winkler hold with the NCCC?,https://en.wikipedia.org/wiki/Nkosazana_Dlamini-Zuma,-,President
4042,What is the longest running national newspaper in the world?,https://en.wikipedia.org/wiki/List_of_the_oldest_newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_States,Gazzetta di Mantova
4043,Who won the 1999 World's Strongest Man?,https://en.wikipedia.org/wiki/1999_World%27s_Strongest_Man,https://en.wikipedia.org/wiki/Jouko_Ahola,Jouko Ahola
4044,Who wrote Dear Blue Sky?,https://en.wikipedia.org/wiki/Dear_Blue_Sky,https://en.wikipedia.org/wiki/Mr._Blue_Sky,Mary Sullivan
4045,What is the name of the structure that was once used to store hay?,https://en.wikipedia.org/wiki/Barn,https://en.wikipedia.org/wiki/Hay,the mow (rhymes with cow) or the hayloft
4046,What was the name of the band that was a sister to the Jones Sisters?,https://en.wikipedia.org/wiki/The_Jones_Girls,https://en.wikipedia.org/wiki/The_Jones_Sisters_Trio,The Jones Sisters Trio
4047,Who won the 2019 Digital Ally 400?,https://en.wikipedia.org/wiki/2019_Digital_Ally_400,https://en.wikipedia.org/wiki/Buschy_McBusch_Race_400,Brad Keselowski
4048,What counry is the CDP located?,"https://en.wikipedia.org/wiki/Kern_County,_California","https://en.wikipedia.org/wiki/Mohave_County,_Arizona",Kern County
4049,What nationality is Dmytro Polyuhanych?,https://en.wikipedia.org/wiki/Dmytro_Polyuhanych,https://en.wikipedia.org/wiki/Category:FC_Skala_Stryi_(2004)_players,Ukrainian
4050,"What are the wrymouth, Cryptacanthodes maculatus, sometimes called?",https://en.wikipedia.org/wiki/Wrymouth,https://en.wikipedia.org/wiki/Cryptacanthodes,ghostfish
4051,"What is the largest theatre in Vienna with over 3,000 seats?",https://en.wikipedia.org/wiki/List_of_concert_halls,https://en.wikipedia.org/wiki/Opera_house,La Monnaie
4052,How many people live in the Pikis municipality?,https://en.wikipedia.org/wiki/Piikki%C3%B6,https://en.wikipedia.org/wiki/Boda_boda,"6,836"
4053,When was M-Kopa launched commercially?,https://en.wikipedia.org/wiki/M-Kopa,https://en.wikipedia.org/wiki/Smartphone,2012
4054,When was the school established in Negeri 1?,https://en.wikipedia.org/wiki/SMA_Negeri_1_Narmada,https://en.wikipedia.org/wiki/SMP_Negeri_1_Kemangkon,empty
4055,What is the name of the moth found in Great Britain?,https://en.wikipedia.org/wiki/Peppered_moth_evolution,https://en.wikipedia.org/wiki/Moth,var. typica
4056,What was the name of an Anglo-Saxon nunnery in Cholsey?,https://en.wikipedia.org/wiki/Cholsey_Abbey,https://en.wikipedia.org/wiki/Category:Anglo-Saxon_monastic_houses,Cholsey Abbey
4057,What was the name of the German submarine that was a Type IIC U-boat?,https://en.wikipedia.org/wiki/Type_II_submarine,https://en.wikipedia.org/wiki/German_submarine_U-56_(1938),U-56
4058,What type of bird is includes more than half of all bird species?,https://en.wikipedia.org/wiki/Passerine,https://en.wikipedia.org/wiki/Bird,passerine
4059,What was the goal of the Baku protests?,https://en.wikipedia.org/wiki/2019_Baku_protests,https://en.wikipedia.org/wiki/July_2020_Azerbaijani_protests,release of political prisoners and for free and fair elections
4060,What connection was built to connect Barcelona to Atlit?,"https://en.wikipedia.org/wiki/La_Barceloneta,_Barcelona",https://en.wikipedia.org/wiki/List_of_Knights_Templar_sites,Ciutadella
4061,What is anotname for the vomer?,https://en.wikipedia.org/wiki/Vomer,https://en.wikipedia.org/wiki/Lookdown,one of the unpaired facial bones of the skull
4062,Who is the creator and showrunner of the Netflix series The Crown?,https://en.wikipedia.org/wiki/Peter_Morgan,https://en.wikipedia.org/wiki/The_Crown_(TV_series),empty
4063,How many students there have rolled in Matarau School in March 2021?,https://en.wikipedia.org/wiki/Matarau,https://en.wikipedia.org/wiki/Point_Chevalier,313
4064,What is the name of the song that Madonna signed for her third album?,https://en.wikipedia.org/wiki/Madonna,https://en.wikipedia.org/wiki/Madonna_(Madonna_album),Holiday
4065,When was the Royal Society of London founded?,https://en.wikipedia.org/wiki/Royal_Society,https://en.wikipedia.org/wiki/Royal_Academy_of_Arts,28 November 1660
4066,Which successful series of Idol Contestants was also produced and aired on Nine Network?,https://en.wikipedia.org/wiki/American_Idol,https://en.wikipedia.org/wiki/The_X_Factor_(Australian_TV_series),The X Factor
4067,In what county is Foxburg located?,"https://en.wikipedia.org/wiki/Foxburg,_Pennsylvania",https://en.wikipedia.org/wiki/Foxburg_Country_Club,Clarion County
4068,What color was the flaming white flag that the Captain Joseph Schlosser replaced?,https://en.wikipedia.org/wiki/Alexander_von_Humboldt,https://en.wikipedia.org/wiki/Malcolm_McLaren,empty
4069,What company produces the inflatable sailing Ducky catamarans?,https://en.wikipedia.org/wiki/Ducky_catamarans,https://en.wikipedia.org/wiki/Inflatable_boat,Ukon-А Limited
4070,What is the sagitta of a circular arc?,https://en.wikipedia.org/wiki/Sagitta_(geometry),https://en.wikipedia.org/wiki/Circular_segment,the distance from the center of the arc to the center of its base
4071,In what county is West Orange located?,"https://en.wikipedia.org/wiki/West_Orange,_New_Jersey","https://en.wikipedia.org/wiki/West_Orange,_Texas",Essex
4072,Which time did Ken Martin set a track record for running in the marathon?,https://en.wikipedia.org/wiki/Ken_Martin,https://en.wikipedia.org/wiki/Lisa_Martin_(runner),2 11 24
4073,The bow can project multiple colors to render what?,https://en.wikipedia.org/wiki/Color_motion_picture_film,https://en.wikipedia.org/wiki/Stereoscopy,print
4074,Where is the Jerzkowice railway station?,https://en.wikipedia.org/wiki/Jerzkowice_railway_station,https://en.wikipedia.org/wiki/Category:Byt%C3%B3w_County,"Jerzkowice (Pomeranian Voivodeship), Poland"
4075,What is the population of the city?,https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population,https://en.wikipedia.org/wiki/City,This list refers only to the population of individual municipalities within their defined limits
4076,Which local street is a part of the Queensland Heritage Register?,https://en.wikipedia.org/wiki/Scenic_Rim_Local_Heritage_Register,"https://en.wikipedia.org/wiki/Fig_Tree,_Gladstone",Roseberry Street
4077,Who was the manager of the warehouse Opekta and Gies & Co?,https://en.wikipedia.org/wiki/Opekta,https://en.wikipedia.org/wiki/Wilhelm_van_Maaren,Willem Gerardus van Maaren
4078,Most games make use of what?,https://en.wikipedia.org/wiki/Role-playing_video_game,https://en.wikipedia.org/wiki/Video_game_graphics,recorded dialog and voiceover narration
4079,What was the population of North Carolina in 2010?,https://en.wikipedia.org/wiki/North_Carolina,https://en.wikipedia.org/wiki/Demographics_of_North_Carolina,"2,402,623 The Triangle Raleigh-Durham-Cary-Chapel Hill, North Carolina - population 2,156,253"
4080,What is the name of the ice manufacturing plant that sits at 120 East Broadway?,https://en.wikipedia.org/wiki/Wilson_Power_and_Light_Company_Ice_Plant,https://en.wikipedia.org/wiki/Quaker_Square,Wilson Power and Light Company Ice Plant
4081,What was the most popular name for baby girls born in Finland in 2007?,https://en.wikipedia.org/wiki/Helmi_(given_name),https://en.wikipedia.org/wiki/Venla_(given_name),empty
4082,In what country is Ay-sur-Moselle located?,https://en.wikipedia.org/wiki/Ay-sur-Moselle,https://en.wikipedia.org/wiki/File:Blason_Ay-sur-Moselle_57.svg,France
4083,How did Coleridge think a rebellion could be started?,https://en.wikipedia.org/wiki/Romanticism_and_the_French_Revolution,https://en.wikipedia.org/wiki/The_Nightingale:_A_Conversation_Poem,empty
4084,In what country did Dauder achieve a great deal of success?,https://en.wikipedia.org/wiki/The_Pointer_Sisters,https://en.wikipedia.org/wiki/Mark_Twain,country
4085,Who was the first inhabitants of Mooloolah Valley?,"https://en.wikipedia.org/wiki/Mooloolah_Valley,_Queensland",https://en.wikipedia.org/wiki/Sunshine_Coast_Region,empty
4086,Who took over after Katharine MacGregor?,https://en.wikipedia.org/wiki/Katherine_MacGregor,https://en.wikipedia.org/wiki/Katharine_MacGregor,Beatrice E. Willard
4087,How does the algorithm handle constraints in a specific situation?,https://en.wikipedia.org/wiki/Constrained_optimization,https://en.wikipedia.org/wiki/Constraint_satisfaction_problem,local search
4088,What world ranking does Tirinzoni have?,https://en.wikipedia.org/wiki/2021_World_Women%27s_Curling_Championship,https://en.wikipedia.org/wiki/2021_Champions_Cup_(curling),empty
4089,What is the name of the Auckland Museum?,https://en.wikipedia.org/wiki/Auckland_War_Memorial_Museum,https://en.wikipedia.org/wiki/Auckland_Domain,Auckland War Memorial Museum
4090,What was the name of Little Jackie's debut album?,https://en.wikipedia.org/wiki/Little_Jackie,https://en.wikipedia.org/wiki/Made4TV,The Stoop
4091,What year did Toomas Kivisild graduate from University of Tartu?,https://en.wikipedia.org/wiki/Toomas_Kivisild,https://en.wikipedia.org/wiki/List_of_Tartu_University_people,2000
4092,Which Nobel laureate  physicist lectured at Caltech on the topic of synthetic chemistry?,https://en.wikipedia.org/wiki/There%27s_Plenty_of_Room_at_the_Bottom,https://en.wikipedia.org/wiki/Richard_Feynman,Richard Feynman
4093,What is the profession of Dan Berger?,https://en.wikipedia.org/wiki/Daniel_Berger_(golfer),https://en.wikipedia.org/wiki/Daniel_Berger_(engraver),golfer
4094,What year was Brassed Off released?,https://en.wikipedia.org/wiki/Brassed_Off,https://en.wikipedia.org/wiki/The_Floral_Dance,1996
4095,How many people were confirmed to have been infected by the COVID-19 pandemic in the Falkland Islands?,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Falkland_Islands,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_South_America,63
4096,What was the name of the subsidiary that was created in 2016?,https://en.wikipedia.org/wiki/Square_Enix,https://en.wikipedia.org/wiki/Sony_Interactive_Entertainment,Shinra Technologies
4097,"Who wrote the song ""Lovin' You""?",https://en.wikipedia.org/wiki/Lovin%27_You,https://en.wikipedia.org/wiki/Who%27s_Lovin%27_You,Richard Rudolph
4098,What position did James Allen Graham hold?,https://en.wikipedia.org/wiki/Allen_West_(politician),https://en.wikipedia.org/wiki/Alexander_Graham_Bell,empty
4099,What was the name of the first boxer to win the BBBofC British belt?,https://en.wikipedia.org/wiki/Lonsdale_Belt,https://en.wikipedia.org/wiki/British_Boxing_Board_of_Control,Freddie Welsh
4100,Who is an elected representative for the Samajwadi Party?,https://en.wikipedia.org/wiki/2019_Indian_general_election,https://en.wikipedia.org/wiki/2007_Uttar_Pradesh_Legislative_Assembly_election,Samajwadi Party
4101,What direction is Kenana Airport located by?,https://en.wikipedia.org/wiki/Kenana_Airport,https://en.wikipedia.org/wiki/List_of_airports_in_Sudan,south
4102,When was the Rabbi Yosef Granofsky founded?,https://en.wikipedia.org/wiki/Yeshivat_Ohr_David,https://en.wikipedia.org/wiki/Chaim_Flom,1980
4103,What year was Villedubert first mentioned?,https://en.wikipedia.org/wiki/Caunes-Minervois,https://en.wikipedia.org/wiki/Bize-Minervois,982
4104,When was 'Britannica's Tales Around the World' released?,https://en.wikipedia.org/wiki/Britannica%27s_Tales_Around_the_World,https://en.wikipedia.org/wiki/List_of_Encyclop%C3%A6dia_Britannica_Films_titles,1990
4105,What company owns and operates the Pascal Paoli?,https://en.wikipedia.org/wiki/MS_Pascal_Paoli,https://en.wikipedia.org/wiki/Pasquale_Paoli,SNCM
4106,What was the name of Norman Wisdom's song that was released in 1964?,https://en.wikipedia.org/wiki/Norman_Wisdom,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd,Don't Laugh at Me ('cause I'm 1962 hit Stop the World I Want to Get Off
4107,What is the name of the open-source project for creating relational databases?,https://en.wikipedia.org/wiki/MySQL,https://en.wikipedia.org/wiki/PostgreSQL,MySQL
4108,What is an effective method for treating vocal problems in dogs?,https://en.wikipedia.org/wiki/Devocalization,https://en.wikipedia.org/wiki/Rabies,Surgical procedure
4109,What was the name of the ship that was converted to a frigate?,https://en.wikipedia.org/wiki/Destroyer_escort,https://en.wikipedia.org/wiki/Ship_of_the_line,destroyer escorts
4110,"What was the name of the group that released the album ""Good Life""?",https://en.wikipedia.org/wiki/Good_Life_(Inner_City_song),https://en.wikipedia.org/wiki/The_Good_Life_(band),Inner City
4111,What position was George Washington Ryland born in?,https://en.wikipedia.org/wiki/George_Washington_Ryland,https://en.wikipedia.org/wiki/Ryland,Maryland
4112,In which department is Caldas located?,https://en.wikipedia.org/wiki/Caldas_Department,"https://en.wikipedia.org/wiki/Chinchin%C3%A1,_Caldas",Caldas
4113,What was one of the governing principles of the Mandate System?,https://en.wikipedia.org/wiki/League_of_Nations_mandate,https://en.wikipedia.org/wiki/Mandate_for_Palestine,non-annexation
4114,What is the goal of Kwon?,https://en.wikipedia.org/wiki/Kwon_Chang-hoon,https://en.wikipedia.org/wiki/Choi_Won-kwon,Kwon injured his achilles tendon
4115,How many known species of Microcotylinae are known?,https://en.wikipedia.org/wiki/Microcotylinae,https://en.wikipedia.org/wiki/Jaliscia,29
4116,What was the name of the Richmond team from 1876?,https://en.wikipedia.org/wiki/Richmond_Spiders,https://en.wikipedia.org/wiki/Armstrong_High_School_(Virginia),Colts
4117,When did Arthur Powys die?,https://en.wikipedia.org/wiki/Arthur_Powys,https://en.wikipedia.org/wiki/Walter_Powys,7 January 1892
4118,When was Moby's debut album released?,https://en.wikipedia.org/wiki/Moby,https://en.wikipedia.org/wiki/Moby_(album),July 1992
4119,What was the name of the first female jazz singer?,https://en.wikipedia.org/wiki/Women_in_jazz,https://en.wikipedia.org/wiki/Ella_Fitzgerald,Ella Jane Fitzgerald
4120,"Who is an American saxophonist, which helped found the jazz program at the New School University in New York?",https://en.wikipedia.org/wiki/School_of_Jazz_(The_New_School),https://en.wikipedia.org/wiki/Miles_Davis,Charlie Parker
4121,What is the silicate mineral ,https://en.wikipedia.org/wiki/Silicate_mineral,https://en.wikipedia.org/wiki/Silicate,silica
4122,Who was the publishing CEO of dtv in 2015?,https://en.wikipedia.org/wiki/Dtv_Verlagsgesellschaft,https://en.wikipedia.org/wiki/Tegna_Inc.,Wolfgang Balk
4123,What is the maximum amount of power for an unlicensed FM radio station in the Washington metro area?,https://en.wikipedia.org/wiki/High_school_radio,https://en.wikipedia.org/wiki/Low-power_broadcasting,empty
4124,How tall is Max van Schaik?,https://en.wikipedia.org/wiki/Max_van_Schaik,https://en.wikipedia.org/wiki/Van_Schaik,2.07 m (6 ft 9 in)
4125,What position did Hans Coppi Jr receive in his university?,https://en.wikipedia.org/wiki/Mildred_Harnack,https://en.wikipedia.org/wiki/Mark_F._Watts,empty
4126,What was the profession of Dame Bertha Surtees Phillpotts?,https://en.wikipedia.org/wiki/Mildred_Harnack,https://en.wikipedia.org/wiki/Mark_F._Watts,empty
4127,What can be used to signal a rescue team or finding a body of one's lost family members?,https://en.wikipedia.org/wiki/James_Kim,https://en.wikipedia.org/wiki/Missing_in_action,burned their car's tires
4128,"Who is the director of the film ""Banwra""?",https://en.wikipedia.org/wiki/Banwra,https://en.wikipedia.org/wiki/Raj_Kapoor_filmography,G. Rakesh
4129,When did the 1998 Monte Carlo Open take place?,https://en.wikipedia.org/wiki/1998_Monte_Carlo_Open,https://en.wikipedia.org/wiki/1998_Monte_Carlo_Open_%E2%80%93_Singles,20 April through 26 April 1998
4130,How many people lived in the Attlebridge in the 2001 census?,https://en.wikipedia.org/wiki/Cambridge,https://en.wikipedia.org/wiki/Attleborough,89.44
4131,"Where is Hobart, Oklahoma's television station?",https://en.wikipedia.org/wiki/KTJS,https://en.wikipedia.org/wiki/KQTZ,KQTZ (105.9 FM)
4132,What is the purpose of building aqueous Li-ion batteries?,https://en.wikipedia.org/wiki/Lithium-ion_battery,https://en.wikipedia.org/wiki/Lithium%E2%80%93air_battery,fast-charging
4133,Which medals did Claire Febvay win?,https://en.wikipedia.org/wiki/France_at_the_2008_Summer_Olympics,https://en.wikipedia.org/wiki/France_at_the_2004_Summer_Olympics,silver
4134,Who was named President of the Executive Director of the MCWFTF?,https://en.wikipedia.org/wiki/Middle_Class_Working_Families_Task_Force,-,Jared Bernstein
4135,What kind of lake is Hoidas Lake?,https://en.wikipedia.org/wiki/Hoidas_Lake,https://en.wikipedia.org/wiki/File:Canada_Saskatchewan_relief_location_map.jpg,northern Canadian
4136,How many people were recorded in the Tallebudgera population in 2016?,"https://en.wikipedia.org/wiki/Tallebudgera_Valley,_Queensland","https://en.wikipedia.org/wiki/Tallebudgera,_Queensland",1624
4137,What was the name of Pop Idol alums that was on Jazzie Redd?,https://en.wikipedia.org/wiki/Lou_Reed,https://en.wikipedia.org/wiki/Christmas_music,Reed
4138,How many people live in the comune?,https://en.wikipedia.org/wiki/Commune,https://en.wikipedia.org/wiki/Rome,"commune is an intentional community of people sharing living spaces, interests, values, beliefs, and often property, possessions, and resources in common"
4139,Which courts are the first and second instances of administrative jurisdiction?,https://en.wikipedia.org/wiki/Landesgericht_(Germany),https://en.wikipedia.org/wiki/Judiciary_of_Spain,"Amtsgerichte, Landgerichte and Oberlandesgerichte as the first, second and third instances of ordinary jurisdiction (except some cases in which the Oberlandesgerichte act as federal courts, see the corresponding article) Labour Courts and State Labour Courts as the first and second instance of labour jurisdiction Administrative Courts and Oberverwaltungsgerichte"
4140,When was the film The King of Pigs released?,https://en.wikipedia.org/wiki/The_King_of_Pigs,https://en.wikipedia.org/wiki/Carrie_(1976_film),2011
4141,What was the name of Lali's fourth studio album?,https://en.wikipedia.org/wiki/Libra_(Lali_album),https://en.wikipedia.org/wiki/Lali_Esp%C3%B3sito,Libra
4142,In what jurisdiction was the federal judge from New York based?,https://en.wikipedia.org/wiki/United_States_District_Court_for_the_Southern_District_of_New_York,https://en.wikipedia.org/wiki/United_States_district_court,Southern District of New York
4143,What was the name of the president of the Laguna Beach Art Association?,https://en.wikipedia.org/wiki/Laguna_Art_Museum,"https://en.wikipedia.org/wiki/Laguna_Beach,_California",Edgar Payne
4144,What position did Katherine Anne Feinstein hold at the San Francisco County Superior Court?,https://en.wikipedia.org/wiki/Dianne_Feinstein,https://en.wikipedia.org/wiki/Richard_C._Blum,presiding judge
4145,How many games did Brian Reginald Gant play in?,https://en.wikipedia.org/wiki/Brian_Gant,https://en.wikipedia.org/wiki/To_Catch_a_Killer,fifteen
4146,What is the name of the organization that CCL works on?,https://en.wikipedia.org/wiki/CCL,https://en.wikipedia.org/wiki/Creative_Commons_license,North American Soccer League
4147,How many species of moths does the European pied flycatcher Geometra chrysaetos have?,https://en.wikipedia.org/wiki/CCL,https://en.wikipedia.org/wiki/Creative_Commons_license,empty
4148,Who wrote and directed Kannukkul Nilavu?,https://en.wikipedia.org/wiki/Kannukkul_Nilavu,https://en.wikipedia.org/wiki/Fazil_(director),Fazil
4149,"Who composed the song ""I've Got Two Legs""?",https://en.wikipedia.org/wiki/I%27ve_Got_Two_Legs,https://en.wikipedia.org/wiki/Monty_Python_Sings,Terry Gilliam
4150,"What is the name of the unincorporated community located in Wilcox County, Alabama?","https://en.wikipedia.org/wiki/Alberta,_Alabama","https://en.wikipedia.org/wiki/Wilcox_County,_Alabama",Alberta
4151,What is the name of the formation that is believed to be the oldest in the continent?,https://en.wikipedia.org/wiki/Gondwana,https://en.wikipedia.org/wiki/Supercontinent,empty
4152,What is the name of the second single from the Foo Fighters album?,https://en.wikipedia.org/wiki/Foo_Fighters,https://en.wikipedia.org/wiki/Foo_Fighters_(album),two of which were accompanied by music videos
4153,How many inhabitants lived in the municipality in 2013?,https://en.wikipedia.org/wiki/Srebrenica,https://en.wikipedia.org/wiki/Beijing,"13,409"
4154,Who is the commander of the United States Military Police School that died in a flight crash in 1987?,https://en.wikipedia.org/wiki/United_States_Air_Force_Security_Forces,https://en.wikipedia.org/wiki/United_States_invasion_of_Panama,General Hap Arnold
4155,What day is the La Ferté-Alais Air Show held?,https://en.wikipedia.org/wiki/La_Fert%C3%A9-Alais_Air_Show,https://en.wikipedia.org/wiki/Warbird,Pentecost
4156,What was the name of the railway station that served the village and district of Edwalton?,https://en.wikipedia.org/wiki/Edwalton_railway_station,https://en.wikipedia.org/wiki/West_Bridgford,Edwalton
4157,In what county is the Hutt located?,https://en.wikipedia.org/wiki/Principality_of_Hutt_River,https://en.wikipedia.org/wiki/Lower_Hutt,Upper Hutt
4158,What district has Jeffrey Elmore been a member of?,https://en.wikipedia.org/wiki/Jeffrey_Elmore,https://en.wikipedia.org/wiki/North_Carolina_House_of_Representatives,94th
4159,How many French Championship titles have the Lézignan Sangliers won?,https://en.wikipedia.org/wiki/FC_L%C3%A9zignan_XIII,https://en.wikipedia.org/wiki/Elite_One_Championship_2010%E2%80%932011,seven
