id,question,answer,link_1,link_2,predict_answer
12,What party was the 1952 presidential candidate in Texas?,Republican Party,https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Texas,https://en.wikipedia.org/wiki/1952_United_States_presidential_election,Republican Party
13,"What year did episode ""The End of the World"" premiere?",2005,https://en.wikipedia.org/wiki/The_End_of_the_World_(Skeeter_Davis_song),https://en.wikipedia.org/wiki/The_End_of_the_F***ing_World,first series
14,"Who wrote ""Along Came Jones""?",Jerry Leiber and Mike Stoller,https://en.wikipedia.org/wiki/Along_Came_Jones_(song),https://en.wikipedia.org/wiki/Along_Came_Jones_(film),Jerry Leiber and Mike Stoller
15,What year did the Letipea massacre take place?,1976,https://en.wikipedia.org/wiki/Letipea_massacre,https://en.wikipedia.org/wiki/Letipea,1976
16,What year did Steele make his debut in the Minor Counties Championship?,1998,https://en.wikipedia.org/wiki/Keith_Steele,https://en.wikipedia.org/wiki/Mark_Steele_(cricketer),1971
17,What is the name of the developed Android smartphone?,Galaxy On8,https://en.wikipedia.org/wiki/Android_(operating_system),https://en.wikipedia.org/wiki/Smartphone,"Samsung, and HTC Sense"
18,What does the Mbarizunga Game Reserve cover?,10 square kilometres (3.9 sq mi),https://en.wikipedia.org/wiki/Mbarizunga_Game_Reserve,https://en.wikipedia.org/wiki/Tourism_in_South_Sudan,10 square kilometres (3.9 sq mi)
19,What is Eugoa inconspicua?,moth of the family Erebidae,https://en.wikipedia.org/wiki/Eugoa_inconspicua,https://en.wikipedia.org/wiki/Eugoa,a moth of the family Erebidae
20,What is the population of the Dillsburg borough?,2563,"https://en.wikipedia.org/wiki/Dillsburg,_Pennsylvania","https://en.wikipedia.org/wiki/Carroll_Township,_York_County,_Pennsylvania","2,563"
21,When was the first Avengers album released?,1983,https://en.wikipedia.org/wiki/The_Avengers_(soundtrack),https://en.wikipedia.org/wiki/Avengers_(album),2011
22,What is the nationality of Magnus Nyman?,Swedish,https://en.wikipedia.org/wiki/Magnus_Nyman,https://en.wikipedia.org/wiki/Mats_Bergmans,Swedish
23,Which river is a tributary of the Napo River?,The Coca River,https://en.wikipedia.org/wiki/Napo_River,https://en.wikipedia.org/wiki/Category:Tributaries_of_the_Napo_River,Amazon River
24,When was the Armenian church in Rya Taza built?,between the 10th and 13th centuries,https://en.wikipedia.org/wiki/Rya_Taza,https://en.wikipedia.org/wiki/Aragatsotn_Province,between the 10th and 13th centuries
25,When was the fifth election to Pembrokeshire County Council held?,March 1901,https://en.wikipedia.org/wiki/1901_Pembrokeshire_County_Council_election,https://en.wikipedia.org/wiki/2012_Pembrokeshire_County_Council_election,March 1901
26,What is another name for Saint Gummarus of Lier?,"Gommaire, Gommer or Gummery",https://en.wikipedia.org/wiki/Gummarus,"https://en.wikipedia.org/wiki/Lier,_Belgium",Gommaire
27,Who was an American calligrapher from Russia?,Paul Standard,https://en.wikipedia.org/wiki/Paul_Standard,https://en.wikipedia.org/wiki/Museum_of_Calligraphy,Paul Standard
28,How tall is the the Madom da Sgióf?,"4,810 m (15,781 ft)",https://en.wikipedia.org/wiki/Madom_da_Sgi%C3%B3f,https://en.wikipedia.org/wiki/Category:Lepontine_Alps,"7,431 ft"
29,What is the famous seed fruit that Eminium spiculatum has?,one of the six known seeds of gymnosperm,https://en.wikipedia.org/wiki/Flora_of_Lebanon,-,Enarthrocarpus arcuatus
30,What was the nickname Paul Dmitrievich Romanovsky-Ilyinsky was given?,Grand Duke Pavlov,https://en.wikipedia.org/wiki/Grand_Duke_Dmitri_Pavlovich_of_Russia,https://en.wikipedia.org/wiki/Prince_Dimitri_Romanov,Prince
31,What was the name of the town that became a ghost town?,Carbonate,https://en.wikipedia.org/wiki/Ghost_town,https://en.wikipedia.org/wiki/List_of_ghost_towns_by_country,Val-Jalbert
32,Where is Passendale located?,the Zonnebeke municipality of West Flanders province,https://en.wikipedia.org/wiki/Battle_of_Passchendaele,https://en.wikipedia.org/wiki/Passendale,E
33,What is the population of the capital city?,8169079,https://en.wikipedia.org/wiki/List_of_national_capitals_by_population,https://en.wikipedia.org/wiki/List_of_cities_in_Australia_by_population,largest city
34,How many species does the Normandia genus contain?,1,https://en.wikipedia.org/wiki/Columbidae,https://en.wikipedia.org/wiki/Abalone,32
35,What object was discovered in 1989?,NGC 70,https://en.wikipedia.org/wiki/Category:Astronomical_objects_discovered_in_1989,https://en.wikipedia.org/wiki/(7335)_1989_JA,Astronomical
36,Who wrote Rocks of Ages: Science and Religion in the Fullness of Life?,Stephen Jay Gould,https://en.wikipedia.org/wiki/Rocks_of_Ages,https://en.wikipedia.org/wiki/Stephen_Jay_Gould,Jay Gould
37,What's Jonathan Drack’s nationality?,Mauritian,https://en.wikipedia.org/wiki/Jonathan_Drack,https://en.wikipedia.org/wiki/Jonathan_Harker,Mauritian
38,Who was the leader of the International Federation of Independent Revolutionary Art?,André Breton,https://en.wikipedia.org/wiki/Leon_Trotsky,https://en.wikipedia.org/wiki/Armenian_Revolutionary_Federation,Trotsky
39,What is the total area of the HDMC?,213 km2,https://en.wikipedia.org/wiki/Hubli-Dharwad_Municipal_Corporation,https://en.wikipedia.org/wiki/College_of_Defence_Management,213 km2
40,What is the name of the monthly comic magazine?,Comics Revue,https://en.wikipedia.org/wiki/Monthly_Comic_Zenon,https://en.wikipedia.org/wiki/List_of_Japanese_manga_magazines_by_circulation,Monthly Comics Bunch
41,What position was Rattray appointed to in 1969?,Queen's Counsel,https://en.wikipedia.org/wiki/Carl_Rattray,https://en.wikipedia.org/wiki/Robert_Sutherland_Rattray,Queen's Counsel
42,What is the Southampton Festivite Monday usually called?,Fight for the Weekend,https://en.wikipedia.org/wiki/Southampton_F.C.,https://en.wikipedia.org/wiki/Let%27s_Rock_(festival),Let's RockGenre
43,How many eskualdeak/comarcas?,8,https://en.wikipedia.org/wiki/Comarcas_of_the_Basque_Country,https://en.wikipedia.org/wiki/Comarcas_of_Spain,three
44,"Who wrote ""The Bird: The Life and Legacy of Mark Fidrych""?",Doug Wilson,https://en.wikipedia.org/wiki/The_Bird:_The_Life_and_Legacy_of_Mark_Fidrych,https://en.wikipedia.org/wiki/Mark_Fidrych,g Wilson
45,"The 1994 British League season was the 30th and final season of the British League,  what was the name of the famous player during this season?",Lionel Messi,https://en.wikipedia.org/wiki/David_Beckham,https://en.wikipedia.org/wiki/Jack_Charlton,Gerrard
46,What is the name of the song that Bill Anderson wrote and recorded for?,Thanks,https://en.wikipedia.org/wiki/Bill_Anderson_(singer),https://en.wikipedia.org/wiki/City_Lights_(Ray_Price_song),Po' Folks
47,What type of music does Veld Music festival attract?,electronic dance music and hip-hop music,https://en.wikipedia.org/wiki/VELD_Music_Festival,https://en.wikipedia.org/wiki/Music_festival,electronic dance music and hip-hop
48,Who won the 1962 Liège–Bastogne–Liège race?,Jef Planckaert,https://en.wikipedia.org/wiki/1962_Li%C3%A8ge%E2%80%93Bastogne%E2%80%93Li%C3%A8ge,https://en.wikipedia.org/wiki/1963_Li%C3%A8ge%E2%80%93Bastogne%E2%80%93Li%C3%A8ge,Jef Planckaert
49,What are the most well known species of Callistethus?,Woody killers,https://en.wikipedia.org/wiki/Callistethus,https://en.wikipedia.org/wiki/Category:List-Class_beetle_articles,Callistethus plagiicollis
50,What type of bird is Tarache lucasi?,bird dropping moth,https://en.wikipedia.org/wiki/Tarache_lucasi,https://en.wikipedia.org/wiki/List_of_moths_of_North_America_(MONA_8322%E2%80%9311233),moth
51,What is the name of Archibald's daughter?,Kennadi,https://en.wikipedia.org/wiki/Nate_Archibald_(Gossip_Girl),https://en.wikipedia.org/wiki/Archibald_(name),Serena van der Woodsen
52,What is the largest cruise port in the Atlantic?,The Port of St. John's,https://en.wikipedia.org/wiki/Port_Everglades,https://en.wikipedia.org/wiki/List_of_busiest_cruise_ports_by_passengers,Port Everglades
53,Who was the son of Cush?,Raamah,https://en.wikipedia.org/wiki/Cush_(Bible),https://en.wikipedia.org/wiki/Ham_(son_of_Noah),Nimrod
54,How many medals were Canadians claimed in the 2019 World Championships?,38,https://en.wikipedia.org/wiki/2019_IIHF_Women%27s_World_Championship,https://en.wikipedia.org/wiki/1967_Ice_Hockey_World_Championships,Canada
55,How many rivers flow through Propières?,4,https://en.wikipedia.org/wiki/Propi%C3%A8res,https://en.wikipedia.org/wiki/Lyon,46
56,What is the population of Gelves?,"8,325 inhabitants",https://en.wikipedia.org/wiki/Gelves,https://en.wikipedia.org/wiki/Spanish_assault_on_Djerba_(1510),"1 Total10,054"
57,Where did Michael Christopher Emlyn Jones grow up?,"Wrexham, Wales",https://en.wikipedia.org/wiki/Richard_Burton,https://en.wikipedia.org/wiki/Pernell_Roberts,"Olney, Maryland"
58,What was the name of the Sparks album?,The Seduction of Ingmar Bergman,https://en.wikipedia.org/wiki/Sparks_(band),https://en.wikipedia.org/wiki/Jordin_Sparks,The Seduction of Ingmar Bergman
59,What is the name of the federal building located at 201 North Vienna Street?,Federal Building,"https://en.wikipedia.org/wiki/Federal_Building_(Ruston,_Louisiana)",https://en.wikipedia.org/wiki/Downtown_Ruston_Historic_District,The Federal Building
60,What year did Humayun Khan become a member of the Provincial Assembly?,2018,https://en.wikipedia.org/wiki/Humayun_Khan_(soldier),https://en.wikipedia.org/wiki/Humayun_Akhtar_Khan,empty
61,When was the Anacreon launched?,1800,https://en.wikipedia.org/wiki/HMS_Anacreon,https://en.wikipedia.org/wiki/Anacreon_(1800_ship),1800
62,What is the name of the dam that forms a lagoon on the Buaraba Creek?,The Atkinson Dam,https://en.wikipedia.org/wiki/Atkinson_Dam,https://en.wikipedia.org/wiki/Lagoon_Creek_Pumping_Station,Dam wall
63,What type of animal is the Libellago greeni?,damselflies,https://en.wikipedia.org/wiki/Libellago_greeni,https://en.wikipedia.org/wiki/Libellago,damselfly
64,What was the name of Grace Braun?,Anna Trodglen,https://en.wikipedia.org/wiki/DQE_(band),https://en.wikipedia.org/wiki/Ralph_Braun,Anna Trodglen
65,Which church was placed on the National Register of Historic Places?,The Old Grace Episcopal Church Rectory,https://en.wikipedia.org/wiki/Category:Churches_on_the_National_Register_of_Historic_Places,https://en.wikipedia.org/wiki/National_Register_of_Historic_Places_listings_in_northern_Boston,"Boston, Massachusetts is home to many listings on the National Register of Historic Places. This list encompasses those locations that are located north of the Massachusetts Turnpike"
66,In what year was the name Kaldekerke first used?,1229,https://en.wikipedia.org/wiki/Kaldenkirchen,-,Limburgish
67,What is the difference of the geometry of a force versus a parallelogram?,the geometry is no longer parallelogrammatic,https://en.wikipedia.org/wiki/Parallelogram_of_force,https://en.wikipedia.org/wiki/Euclidean_vector,"rotating the box does not change the box's length, width, and height"
68,What is a phase detector or phase comparator?,"frequency mixer, "" ""n"" ""log multiplier or logic circuit th"" ""t gener"" ""tes "" "" volt"" ""ge sign"" ""l",https://en.wikipedia.org/wiki/Phase_detector,https://en.wikipedia.org/wiki/Phase-locked_loop,"a frequency mixer, analog multiplier or logic circuit that generates a voltage signal which represents the difference in phase between two signal inputs"
69,What are sphaerotheriids used for?,medicinal purposes,https://en.wikipedia.org/wiki/Sphaerotheriida,-,medicinal purposes
70,"What did HTC announce on November 7, 2008?","the Touch HD would be available in the UK from November 7, 2008",https://en.wikipedia.org/wiki/HTC_Touch_HD,https://en.wikipedia.org/wiki/Open_Handset_Alliance,the Touch HD would be available in the UK
71,In what location is Markaryd located?,the Baltic Sea coast,https://en.wikipedia.org/wiki/Markaryd,https://en.wikipedia.org/wiki/Timsfors,"Småland, Sweden"
72,What was Appius Claudius Crassus Sabinus Regillensis usually referred to as?,Appius Claudius Crassus or Crassinus,https://en.wikipedia.org/wiki/Appius_Claudius_Crassus,https://en.wikipedia.org/wiki/Appius_Claudius_Sabinus_Regillensis_(consul_471_BC),Appius Claudius Crassus or Crassinus
73,What year did the Duluth Hardware Kellys win the U.S. Amateur championship?,1907,https://en.wikipedia.org/wiki/Duluth_Hardware_Kellys,"https://en.wikipedia.org/wiki/Duluth,_Minnesota",1907
74,What are the inhabitants of Bures-en-Bray known as?,Bures-Renaissons,https://en.wikipedia.org/wiki/Bures-en-Bray,https://en.wikipedia.org/wiki/Neufch%C3%A2tel-en-Bray,empty
75,In what country does Roewe 950 make its debut?,China,https://en.wikipedia.org/wiki/Roewe,https://en.wikipedia.org/wiki/Roewe_950,China
76,When did Jeffrey Dahmer become president of the Milwaukee Police Association?,2005,https://en.wikipedia.org/wiki/John_Balcerzak,https://en.wikipedia.org/wiki/Milwaukee_Police_Department,2005 to 2009
77,What is the birth date of Christopher David Impey?,25 January 1956,https://en.wikipedia.org/wiki/Chris_Impey,https://en.wikipedia.org/wiki/Daryl_Impey,1956
78,Who wrote and directed the movie The Kashmir Files?,Vivek Agnihotri,https://en.wikipedia.org/wiki/The_Kashmir_Files,https://en.wikipedia.org/wiki/Vivek_Agnihotri,Vivek Agnihotri
79,What company made the Everworld Books?,Scholastic,https://en.wikipedia.org/wiki/Everworld,https://en.wikipedia.org/wiki/Katherine_Applegate,Scholastic
80,How many kilometers did Kjersti Tysse Platzer run in the Olympics?,20,https://en.wikipedia.org/wiki/Coppa_Citt%C3%A0_di_Sesto_San_Giovanni,-,1 30 07 52nd 11
81,What is the common name of the plant used to treat epilepsy?,Withania somnifera,https://en.wikipedia.org/wiki/Digitalis,https://en.wikipedia.org/wiki/Lamotrigine,Foxglove
82,What position in the Royal Dutch Navy did Jan Borten hold?,medical officer,https://en.wikipedia.org/wiki/Olav_V_of_Norway,https://en.wikipedia.org/wiki/January_20,admiral
83,How many listed buildings are in the parish of Montford?,20,"https://en.wikipedia.org/wiki/Listed_buildings_in_Montford,_Shropshire",https://en.wikipedia.org/wiki/Montford_Bridge,20
84,Where did Popper attend school?,Quaker Leighton Park School in Reading,https://en.wikipedia.org/wiki/Karl_Popper,https://en.wikipedia.org/wiki/John_Popper,Davenport Ridge School
85,Which Canadian writer won the Vicky Metcalf Award for Literature for Young People?,Jan Thornhill,https://en.wikipedia.org/wiki/Vicky_Metcalf_Award_for_Literature_for_Young_People,https://en.wikipedia.org/wiki/Farley_Mowat,children's writers
86,When did 'The Librarians' premiere?,"December 7, 2014",https://en.wikipedia.org/wiki/The_Librarians_(2014_TV_series),https://en.wikipedia.org/wiki/List_of_The_Librarians_episodes,"June 25, 2014"
87,"When did HPOJ, the HP OfficeJet Linux driver cease development?",13 March 2006,https://en.wikipedia.org/wiki/HP_Linux_Imaging_and_Printing,https://en.wikipedia.org/wiki/List_of_Hewlett-Packard_products,13 March 2006
88,Who wrote The Russian Radical?,Chris Matthew Sciabarra,https://en.wikipedia.org/wiki/Ayn_Rand:_The_Russian_Radical,https://en.wikipedia.org/wiki/Russian_nihilist_movement,Ayn Rand
89,Who was the first Polish-American to win a major title in the U.S.?,Martin Fischer,https://en.wikipedia.org/wiki/List_of_Polish_Americans,https://en.wikipedia.org/wiki/History_of_Poles_in_the_United_States,Kazimierz Pułaski
90,Who created the NGC?,John Louis Emil Dreyer,https://en.wikipedia.org/wiki/New_General_Catalogue,https://en.wikipedia.org/wiki/NGC,"New General CatalogueSpiral Galaxy NGC 3982 displays numerous spiral arms filled with bright stars, blue star clusters, and dark dust lanes. It spans about 30,000 light years, lies about 68 million light years from Earth and can be seen with a small telescope in the constellation of Ursa Major.Alternative namesNGCSurvey typeastronomical catalog ObservationsWilliam Herschel"
91,"In 2009, what was the estimated number of cases of influenza A virus?",60.8 million,https://en.wikipedia.org/wiki/2009_swine_flu_pandemic,https://en.wikipedia.org/wiki/Influenza_pandemic,1.75. 93
92,What is the population of the Gainesville metro area in 2010?,33804,"https://en.wikipedia.org/wiki/Gainesville_metropolitan_area,_Georgia","https://en.wikipedia.org/wiki/Gainesville,_Florida","179,684"
93,"Who was the first person to release a song in the song ""My Truly, Truly Fair""?",Bob Merrill,"https://en.wikipedia.org/wiki/My_Truly,_Truly_Fair",https://en.wikipedia.org/wiki/Guy_Mitchell,Christopher Columbus
94,How many species does the Reptile Database focus on?,13000,https://en.wikipedia.org/wiki/Reptile_Database,https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_Amphibians_and_Reptiles/Archive_7,"13,000"
95,What year did Thomas Lomar Gray die?,1908,https://en.wikipedia.org/wiki/Thomas_Lomar_Gray,https://en.wikipedia.org/wiki/Talk%3AThomas_Lomar_Gray,1908
96,"In 1930, which country had the highest attendance for an FIFA World Cup?",Yugoslavia,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,https://en.wikipedia.org/wiki/FIFA_World_Cup,Argentina
97,How many students does the IMMS Raebareli have?,"about 8,000",https://en.wikipedia.org/wiki/Education_in_Uttar_Pradesh,https://en.wikipedia.org/wiki/List_of_colleges_affiliated_with_Dr._A.P.J._Abdul_Kalam_Technical_University,"15,000"
98,How many kilometers of roads are there?,10000,https://en.wikipedia.org/wiki/List_of_countries_by_road_network_size,https://en.wikipedia.org/wiki/Roads_in_the_United_Kingdom,Length
99,Where was the 2011 TicketCity Bowl played?,"Dallas, Texas",https://en.wikipedia.org/wiki/2011_TicketCity_Bowl,https://en.wikipedia.org/wiki/2012_TicketCity_Bowl,"Cotton Bowl in Dallas, Texas"
100,When did Moshe Landau die?,1 May 2011,https://en.wikipedia.org/wiki/Moshe_Landau,https://en.wikipedia.org/wiki/Landau_Commission,May 2011
101,"What Act divides the Army into the Regular Army, the Army National Guard and the Army Reserve?","The Army Act, 1950",https://en.wikipedia.org/wiki/Regular_Army_(United_States),https://en.wikipedia.org/wiki/Army_National_Guard,National Defense Authorization Act
102,What is the NR2 highway called?,National Highway 2,https://en.wikipedia.org/wiki/Alberta_Highway_2,https://en.wikipedia.org/wiki/Royal_Road,Queen Elizabeth II Highway
103,What was the name of the previous head coach at East Texas State?,Eddie Vowell,https://en.wikipedia.org/wiki/Texas_A%26M%E2%80%93Commerce_Lions_football,https://en.wikipedia.org/wiki/Ernest_Hawkins_(coach),Colby Carthel
104,When did Taj Mahal start his recording career?,late 1980s,https://en.wikipedia.org/wiki/Taj_Mahal_(musician),https://en.wikipedia.org/wiki/Henry_Thomas_(blues_musician),1971
105,What can be used to study graphs?,techniques of linear algebra,https://en.wikipedia.org/wiki/Graph_theory,https://en.wikipedia.org/wiki/Social_network_analysis,graph theory
106,In what county is the Wessington house located?,Chowan County,https://en.wikipedia.org/wiki/Wessington_House,"https://en.wikipedia.org/wiki/National_Register_of_Historic_Places_listings_in_Jerauld_County,_South_Dakota",Chowan County
107,How many slots are typically in a rack of a ISS spacecraft?,37,https://en.wikipedia.org/wiki/International_Standard_Payload_Rack,https://en.wikipedia.org/wiki/International_Space_Station,37
108,In what part of China do Ersu languages be found?,the western part of Sichuan province,https://en.wikipedia.org/wiki/Ersu_language,https://en.wikipedia.org/wiki/Ersuic_languages,western Sichuan
109,What is the name of the movie Spock directed?,Matrix Revolver,https://en.wikipedia.org/wiki/Star_Trek_III:_The_Search_for_Spock,https://en.wikipedia.org/wiki/Star_Trek_(film),Star Trek III
110,What is the FreeX Blade?,"German single-place, paraglider",https://en.wikipedia.org/wiki/FreeX_Blade,https://en.wikipedia.org/wiki/FreeX,"a German single-place, paraglider"
111,Keith Whitley released his first compilation album in what year?,1991,https://en.wikipedia.org/wiki/Keith_Whitley_discography,https://en.wikipedia.org/wiki/Greatest_Hits_(Keith_Whitley_album),1994
112,What season is pumpkin bread usually baked?,late fall,https://en.wikipedia.org/wiki/Pumpkin_bread,https://en.wikipedia.org/wiki/Bread,fall
113,What was the name of the policy of non-recognition of states created as a result of aggression?,The Stimson Doctrine,https://en.wikipedia.org/wiki/Stimson_Doctrine,https://en.wikipedia.org/wiki/State_continuity_of_the_Baltic_states,The Stimson Doctrine
114,What are the names of the two dish in Ireland?,Ella Pie and Clams Pie,https://en.wikipedia.org/wiki/List_of_Irish_dishes,https://en.wikipedia.org/wiki/Irish_cuisine,The introduction of the potato
115,How many career years in professional hockey did Parizeau spend in the NHL?,2,https://en.wikipedia.org/wiki/Michel_Parizeau,https://en.wikipedia.org/wiki/Wayne_Gretzky,1948
116,What year was the Allsvenskan season held?,1960–61,https://en.wikipedia.org/wiki/Allsvenskan,https://en.wikipedia.org/wiki/2013_Allsvenskan,25
117,What was the nationality of Friedrich Daniel von Recklinghausen?,German,https://en.wikipedia.org/wiki/Friedrich_Daniel_von_Recklinghausen,https://en.wikipedia.org/wiki/Neurofibromatosis,German
118,What year did Kwes release his debut album?,2013,https://en.wikipedia.org/wiki/Kwes,https://en.wikipedia.org/wiki/Rollerblades_(Kwes_song),2013
119,When was The Alloy of Law published?,2011,https://en.wikipedia.org/wiki/Mistborn:_The_Alloy_of_Law,https://en.wikipedia.org/wiki/Mistborn,"November 8, 2011"
120,The Tabacalera House is a heritage house in which city?,San Fernando,https://en.wikipedia.org/wiki/Tabacalera_House,https://en.wikipedia.org/wiki/Tabacalera_(disambiguation),San Fernando
121,What was the nickname given to McKenley?,Z-Bo,https://en.wikipedia.org/wiki/McKinley_(surname),https://en.wikipedia.org/wiki/William_McKinley,empty
122,What is the district number of Lambert?,71st,"https://en.wikipedia.org/wiki/Lambertville,_New_Jersey",https://en.wikipedia.org/wiki/Lambert_High_School,111
123,What is the name of the independent body that was created to study the growth and development of economies?,The Commission on Growth and Development,https://en.wikipedia.org/wiki/Economics,https://en.wikipedia.org/wiki/Sustainable_development,Mainstream economics
124,In what year did Almería host the XXII Summer Youth Olympic Games?,2005,https://en.wikipedia.org/wiki/Mediterranean_Games,https://en.wikipedia.org/wiki/1992_Summer_Olympics_torch_relay,1992
125,Where is the main high school located in Brooks County?,Quitman,"https://en.wikipedia.org/wiki/Brooks_County,_Georgia",https://en.wikipedia.org/wiki/Brooks_County_High_School,Brooks County High School
126,"Who wrote the original screenplay for ""Ritu  Kumar Kumar""?",Joshua Newtonn,"https://en.wikipedia.org/wiki/Brooks_County,_Georgia",https://en.wikipedia.org/wiki/Brooks_County_High_School,"Huxford, Folks"
127,How many public schools are in Collier County?,9,https://en.wikipedia.org/wiki/District_School_Board_of_Collier_County,"https://en.wikipedia.org/wiki/Collier_County,_Florida",14
128,Who won the 1938 South Carolina gubernatorial election?,Burnet Rhett Maybank,https://en.wikipedia.org/wiki/1938_South_Carolina_gubernatorial_election,https://en.wikipedia.org/wiki/1966_South_Carolina_gubernatorial_election,"Democratic gubernatorial primary runoff 1934 September 13, 1938 1942 Nominee Burnet R. Maybank"
129,What year was Murder unearthed?,1948,https://en.wikipedia.org/wiki/Unearthed_(Fringe),https://en.wikipedia.org/wiki/Unearthed_(Johnny_Cash_album),2002
130,What is the name of the aquarium in San Antonio?,The San Antonio Aquarium,https://en.wikipedia.org/wiki/SeaWorld_San_Antonio,https://en.wikipedia.org/wiki/San_Antonio_Aquarium,Aquatica San Antonio Aquatica
131,What nationality was Chen Xiaoxin born?,Chinese,https://en.wikipedia.org/wiki/Chen_Xiaoxin,https://en.wikipedia.org/wiki/Hu_Xiaoxin,Chinese
132,What was the Secretary-General chosen by the United States in 1997?,Kofi Annan of Ghana,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations,https://en.wikipedia.org/wiki/Kofi_Annan,Annan
133,What was the nickname of Nat Turner during his two terms in Ohio?,the Peasant Whig,https://en.wikipedia.org/wiki/College_of_Wooster,https://en.wikipedia.org/wiki/Shields_Green,iconic rebels
134,In what place did the Whalers finish in the 1988-89 Hartford Whalers season?,fourth,https://en.wikipedia.org/wiki/1988%E2%80%9389_Hartford_Whalers_season,https://en.wikipedia.org/wiki/Kevin_Dineen,fourth
135,What was the name of the 1980 Mercy River Boys album?,Breakout,https://en.wikipedia.org/wiki/Mercy_River_Boys,https://en.wikipedia.org/wiki/Danny_Hollis,Breakout
136,In what year did WUCP begin broadcasting under the call letters WUCP-LP?,2003,https://en.wikipedia.org/wiki/WJBP,https://en.wikipedia.org/wiki/List_of_FM_radio_stations_in_the_United_States_by_call_sign_(initial_letters_WT%E2%80%93WV),1985
137,Where did the Missouri Cavalry Regiment primarily serve during the American Civil War?,Union Army,https://en.wikipedia.org/wiki/United_States_Colored_Troops,https://en.wikipedia.org/wiki/1st_Nebraska_Infantry_Regiment,The United States Colored Troops (USCT) were regiments in the United States Army
138,How many teams are fielded by the Ripon Rugby Union Football Club?,4,https://en.wikipedia.org/wiki/Forward_pass,https://en.wikipedia.org/wiki/Milwaukee_Panthers,867 477 7
139,What year was the club founded?,1924,https://en.wikipedia.org/wiki/List_of_football_clubs_in_England_and_Wales_by_year_formed,https://en.wikipedia.org/wiki/Oldest_football_clubs,1820
140,The Water Tower was built in what year?,1934,https://en.wikipedia.org/wiki/Chicago_Water_Tower,https://en.wikipedia.org/wiki/Water_tower,1869
141,How many countries did he play for?,7,https://en.wikipedia.org/wiki/Pel%C3%A9,https://en.wikipedia.org/wiki/Davis_Cup,46
142,What gene specifies a human disorder called the Ruijs-Aalfs syndrome?,SPRTN,https://en.wikipedia.org/wiki/Pel%C3%A9,https://en.wikipedia.org/wiki/Davis_Cup,empty
143,Where is the National Maritime Museum located?,Gdańsk,https://en.wikipedia.org/wiki/National_Maritime_Museum,https://en.wikipedia.org/wiki/Korea_National_Maritime_Museum,Royal Borough of Greenwich
144,What was Natzler's occupation?,ceramicist,https://en.wikipedia.org/wiki/Otto_Natzler,https://en.wikipedia.org/wiki/Gertrud_Natzler,eramicist
145,What is the name of the people that inhabited Enggano Island according to the 1999 census?,Enggano,https://en.wikipedia.org/wiki/Sumatra,https://en.wikipedia.org/wiki/Hawaiian_language,Minangkabau
146,What was the name of the short-lived band that emerged from the ashes of Ednaswap?,Annetenna,https://en.wikipedia.org/wiki/Annetenna,https://en.wikipedia.org/wiki/Post-grunge,Annetenna
